lower_bounds,upper_bounds,mean_engagement,engagement_se,num_users_in_bin
0.0,86400.0,0.06051332104693082,0.0016622513311273835,4582
86400.0,172800.0,0.026679547286840546,0.0014431723979699924,4571
172800.0,259200.0,0.020691372784944134,0.0013271827717416238,4548
259200.0,345600.0,0.016880354444852794,0.0011720540702434513,4535
345600.0,432000.0,0.01476469979168717,0.0011107773214242972,4516
432000.0,518400.0,0.014326215264897663,0.001094879676026627,4493
518400.0,604800.0,0.01237077825580912,0.0010069955230695017,4455
604800.0,691200.0,0.010928184218018605,0.0009415807516195936,4423
691200.0,777600.0,0.010206816330234954,0.0009306249623708178,4387
777600.0,864000.0,0.010098007643777846,0.0009272162071124143,4356
864000.0,950400.0,0.009088253521005953,0.0008921065360317,4318
950400.0,1036800.0,0.009073256604506606,0.0008996813915895387,4290
1036800.0,1123200.0,0.009622743994877022,0.0008989450775887866,4251
1123200.0,1209600.0,0.009113075297120524,0.0008894968215634271,4179
1209600.0,1296000.0,0.008137056327160493,0.0008028044914442226,4128
1296000.0,1382400.0,0.006921949556918883,0.0007017557320979805,4075
1382400.0,1468800.0,0.006261229265511789,0.0005712890440135527,4028
1468800.0,1555200.0,0.006152097771816081,0.0006078899830845755,3976
1555200.0,1641600.0,0.006475680139766242,0.0006376671326380171,3641
1641600.0,1728000.0,0.00607883299050541,0.0006482837929389659,3187
1728000.0,1814400.0,0.0067381142363189045,0.0007337187680300515,2785
1814400.0,1900800.0,0.007519990215421138,0.0009086860508695536,2309
1900800.0,1987200.0,0.006810965515865894,0.0008503468515639221,1857
1987200.0,2073600.0,0.008479275872934032,0.0009096551259998171,1293
2073600.0,2160000.0,0.019106695270110878,0.0035776660932117705,314
2160000.0,2246400.0,,,0
